Transaction ID,Transaction Type,Date & time,Asset Acquired,"Quantity Acquired (Bought, Received, etc)",Cost Basis (incl. fees paid) (USD),Data Source,"Asset Disposed (Sold, Sent, etc)",Quantity Disposed,Proceeds (excl. fees paid) (USD)
88d0a30f-e8cd-5658-8d0f-676e25dfb84e,Receive,2021-01-17T07:30:58Z,ETH,0.06017707,0,Not available,,,
8ab0bee5-63ca-5562-a975-6d21a7a19d80,Receive,2021-01-17T07:36:25Z,BTC,0.011,0,Not available,,,
08b702cf-dd98-57d0-b141-f5e5605b22e1,Receive,2021-01-20T19:18:07Z,BTC,0.0014093,0,Not available,,,
ecd3d29e-2c23-5d1e-a066-4fb80676e7de,Receive,2021-02-05T00:21:09Z,BTC,0.00050176,0,Not available,,,
f834e361-0123-5471-bc68-0ef39138f81e,Converted from,2021-02-05T00:28:51Z,,,,,BTC,0.004843,179.7696658549999700000365
e99a71b0-d2cf-58be-ade9-9d691fbac2bd,Converted to,2021-02-05T00:28:53Z,ETH,0.10915032,179.7696658549999700000365,Coinbase,,,
dbeb65e6-ff05-593b-85cd-5c1747fcca59,Receive,2021-02-13T05:36:09Z,BTC,0.0005,0,Not available,,,
a422f3fb-5223-53c7-834a-32e73b8605e1,Receive,2021-02-15T20:33:06Z,BTC,0.0005,0,Not available,,,
5bf07f48-7993-5245-9a04-a6f2e14b6f57,Sell,2021-02-18T19:03:00Z,,,,,BTC,0.00329359,167.010000000000000000034853
04b07589-1d01-5d48-93ed-5d18d1ff52e0,Sell,2021-02-18T19:04:01Z,,,,,ETH,0.01666372,30.009999999999999999855496
bddc5581-bbfa-5ccb-ae0a-51b18ab7de86,Receive,2021-02-23T06:12:07Z,BTC,0.0005,0,Not available,,,
e105ac47-3e96-53aa-99df-ea833c9852b5,Receive,2021-06-09T05:01:26Z,BTC,0.00187172,0,Not available,,,
9397cb5f-6abb-562c-88a3-b61270938bfd,Converted from,2021-07-06T21:21:55Z,,,,,BTC,0.004425,149.998583624999979999885
93883d12-06b4-5057-9aa4-55ecc4a50245,Converted to,2021-07-06T21:21:55Z,ETH,0.0639292,149.998583624999979999885,Coinbase,,,
28654813-a9b6-55ad-b330-fb9b834d2500,Send,2021-07-06T21:32:03Z,,,,,ETH,0.04467659,102.742307257100013974837352
3d773543-1919-5d01-8a6b-1ccb371daceb,Receive,2021-07-06T22:41:56Z,ETH,0.03856659,0,Not available,,,
d81feef2-fa95-5dda-a030-6e6af2c74d15,Convert,2021-07-06T22:42:49Z,,,,,ETH,0.21048287,193.561817647900006022216408
9ea115a9-f1b2-565d-bafb-f29cfcd9bf81,Convert,2021-07-06T22:42:49Z,ETH2,0.21048287,193.561817647900006022216408,Not available,,,
a2df08af-186e-57ea-8481-291d19328b46,Converted from,2021-11-02T21:37:07Z,,,,,BTC,0.000792,50.008004639999996000004
c947a5fb-563e-5725-9fed-0dffb5941e21,Converted to,2021-11-02T21:37:08Z,LRC,33.75959079,50.008004639999996000004,Coinbase,,,
73b68f36-a000-50a5-aa82-7ce518e000a8,Buy,2021-11-16T22:15:41Z,LRC,39.32513781,110,Coinbase,,,
5c74e5cb-d73e-51e9-9122-ea02098a441e,Reward,2021-11-17T18:20:05Z,AMP,19.44768573,0.9999027618079499,Coinbase,,,
cc2be039-f652-59a6-b58a-de4ecc4f91aa,Reward,2021-11-17T18:20:30Z,AMP,19.44768573,1.001555815095,Coinbase,,,
92fa8ba7-c38e-5783-a58f-54eacadc3fa2,Reward,2021-11-17T18:20:57Z,AMP,19.38360147,0.9982554757050001,Coinbase,,,
d6e1a438-2f32-5322-ad1c-ea1ed6aac9db,Converted from,2021-12-09T20:12:39Z,,,,,AMP,58.27897293,3.07217605800495
b492ca4b-9967-5440-8975-751afc172465,Converted to,2021-12-09T20:12:40Z,LRC,1.21311803,3.07217605800495,Coinbase,,,
c398a1ce-8b36-53cc-a2f9-02e618ae076a,Converted from,2021-12-09T20:16:40Z,,,,,BTC,0.000547,25.987874275
f9cc3375-59fb-53d6-9941-1685526b6a1f,Converted to,2021-12-09T20:16:45Z,LRC,10.24793636,25.987874275,Coinbase,,,
